"sample_number","data_de_recepcao","programa","matriz","subgrupo","produto","rg","area_analitica","status","objetivo_da_amostra","motivo_de_rejeicao","liberada","data_da_liberacao","latente","descartada","data_do_descarte"
48646,12/2/2021,"Amostras para ensaios de contraprova","PESCADO","POA_006_002","CAMARÃO CONGELADO","03623/20-PE","POA","A","PERICIADESEMPATE",,"T",12/2/2021,"F",,
53056,29/6/2021,"Não Informado na Solicitação","Outros produtos não enquadrados em POA","POA_007_001","MATERIAL DE REFERÊNCIA","07417/20-PE","POA","I","ORIENTACAO",,"F",,"F",,
55415,14/1/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_013","REQUEIJÃO CREMOSO COM ADIÇÃO","09512/20-PE","POA","A","PERICIADESEMPATE",,"T",14/1/2021,"F",,
55459,19/1/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_016","LEITE UHT INTEGRAL","09556/20-PE","POA","A","PERICIADESEMPATE",,"T",19/1/2021,"F",,
55492,3/2/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_014","DOCE DE LEITE PARA CONFEITARIA","09589/20-PE","POA","A","PERICIADESEMPATE",,"T",4/2/2021,"F",,
56288,23/2/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_007","MANTEIGA DE PRIMEIRA QUALIDADE COM SAL","10291/20-PE","POA","A","PERICIADESEMPATE",,"T",24/2/2021,"F",,
56293,23/2/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_014","DOCE DE LEITE","10296/20-PE","POA","A","PERICIADESEMPATE",,"T",24/2/2021,"F",,
57206,2/2/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_016","LEITE UHT INTEGRAL","11136/20-PE","POA","A","PERICIADESEMPATE",,"T",2/2/2021,"F",,
57373,25/3/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_014","DOCE DE LEITE","11303/20-PE","POA","A","PERICIADESEMPATE",,"T",26/3/2021,"F",,
57375,25/3/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_014","DOCE DE LEITE","11305/20-PE","POA","A","PERICIADESEMPATE",,"T",26/3/2021,"F",,
57377,2/3/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_014","DOCE DE LEITE","11307/20-PE","POA","A","PERICIADESEMPATE",,"T",2/3/2021,"F",,
57385,9/2/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_013","REQUEIJÃO CREMOSO","11315/20-PE","POA","A","PERICIADESEMPATE",,"T",9/2/2021,"F",,
57471,25/2/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_016","LEITE UHT SEMIDESNATADO","11401/20-PE","POA","A","PERICIADESEMPATE",,"T",25/2/2021,"F",,
57477,25/2/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_016","LEITE UHT DESNATADO","11407/20-PE","POA","A","PERICIADESEMPATE",,"T",25/2/2021,"F",,
57490,19/1/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_012","IOGURTE COM ADIÇÃO","11420/20-PE","POA","A","PERICIADESEMPATE",,"T",19/1/2021,"F",,
57715,22/3/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_016","LEITE UHT INTEGRAL","11632/20-PE","POA","A","PERICIADESEMPATE",,"T",23/3/2021,"F",,
58336,24/2/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_014","LEITE CONDENSADO","12240/20-PE","POA","A","PERICIADESEMPATE",,"T",24/2/2021,"F",,
58668,22/7/2021,"Amostras para ensaios de contraprova","APÍCOLAS","POA_004_002","MEL","12571/20-PE","POA","A","PERICIADESEMPATE",,"T",22/7/2021,"F",,
58935,4/1/2021,,"GRANDES CULTURAS","NAO_APLICAVEL","Milho (Zea mays)","00024/21-PE","LASO","A","FISCALIZACAO",,"T",5/2/2021,"F",,
58936,4/1/2021,,"GRANDES CULTURAS","NAO_APLICAVEL","Milho (Zea mays)","00025/21-PE","LASO","A","FISCALIZACAO",,"T",5/2/2021,"F",,
58937,4/1/2021,,"GRANDES CULTURAS","NAO_APLICAVEL","Milho (Zea mays)","00026/21-PE","LASO","A","FISCALIZACAO",,"T",5/2/2021,"F",,
58938,4/1/2021,,"GRANDES CULTURAS","NAO_APLICAVEL","Milho (Zea mays)","00027/21-PE","LASO","A","FISCALIZACAO",,"T",5/2/2021,"F",,
59299,6/1/2021,,"CORRETIVO ","FEC_003_003","CORRETIVO DE ACIDEZ DE SOLOS ","00383/21-PE","FEC","A","FISCALIZACAO",,"T",26/2/2021,"F",,
59300,6/1/2021,,"CORRETIVO ","FEC_003_003","CORRETIVO DE ACIDEZ DE SOLOS ","00384/21-PE","FEC","A","FISCALIZACAO",,"T",26/2/2021,"F",,
59301,6/1/2021,,"CORRETIVO ","FEC_003_003","CORRETIVO DE ACIDEZ DE SOLOS ","00385/21-PE","FEC","A","FISCALIZACAO",,"T",26/2/2021,"F",,
59302,6/1/2021,,"CORRETIVO ","FEC_003_003","CORRETIVO DE ACIDEZ DE SOLOS ","00386/21-PE","FEC","A","FISCALIZACAO",,"T",26/2/2021,"F",,
59303,6/1/2021,,"FERTILIZANTE","FEC_001_002","FERTILIZANTE ORGÂNICO DE APLICAÇÃO VIA SOLO","00387/21-PE","FEC","A","FISCALIZACAO",,"T",5/4/2021,"F",,
59307,6/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_002","CARNE CONGELADA DE FRANGO COM OSSO","00388/21-PE","MIC","A","FISCALIZACAO",,"T",19/1/2021,"F",,
59309,6/1/2021,"Programa de Controle de Listeria Monocytogenes (IN 09/2009)","CARNE","MIC_001_007","SALSICHA CONGELADA","00389/21-PE","MIC","A","FISCALIZACAO",,"T",15/1/2021,"F",,
59311,6/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_002","CARNE CONGELADA DE FRANGO SEM OSSO","00390/21-PE","MIC","A","FISCALIZACAO",,"T",19/1/2021,"F",,
59312,6/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_002","CARNE CONGELADA DE FRANGO SEM OSSO","00391/21-PE","MIC","A","FISCALIZACAO",,"T",19/1/2021,"F",,
59313,6/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_002","CARNE CONGELADA DE FRANGO SEM OSSO","00392/21-PE","POA","A","FISCALIZACAO",,"T",28/1/2021,"F",,
59314,6/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_002","CARNE CONGELADA DE FRANGO SEM OSSO","00393/21-PE","POA","C","PERICIADESEMPATE",,"F",,"T",,
59315,6/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_002","CARNE CONGELADA DE FRANGO SEM OSSO","00394/21-PE","POA","A","FISCALIZACAO",,"T",28/1/2021,"F",,
59316,6/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_002","CARNE CONGELADA DE FRANGO SEM OSSO","00395/21-PE","POA","C","PERICIADESEMPATE",,"F",,"T","T","02/02/2021 10:54:31"
59341,7/1/2021,"PROGRAMA NACIONAL DE CONTROLE DE RESÍDUOS E CONTAMINANTES - ÁREA ANIMAL","PESCADOS","PESCADODECAPTURA","Músculo","00420/21-PE","RCI","A","FISCALIZACAO",,"T",17/6/2021,"F",,
59350,8/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","00429/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59351,8/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE RESFRIADA DE BOVINO SEM OSSO","00430/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59513,8/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_001","CARNE SALGADA DE BOVINO SEM OSSO","00582/21-PE","MIC","A","FISCALIZACAO",,"T",20/1/2021,"F",,
59617,11/1/2021,"Programa de Redução de Patógenos em Aves (IN 20/2016)","CARNE","MIC_001_002","CARNE RESFRIADA DE FRANGO COM OSSO","00686/21-PE","MIC","A","FISCALIZACAO",,"T",22/1/2021,"F",,
59629,11/1/2021,,"BEBIDA ALCOÓLICA","BEV_002_004","VINHO DE MESA - TINTO SECO","00698/21-PE","BEV","A","LIBERACAO",,"T",18/1/2021,"F",,
59680,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00749/21-PE","FEC","R","FISCALIZACAO","R01","T",9/2/2021,"F",,
59680,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00749/21-PE","FEC","R","FISCALIZACAO","R01.23","T",9/2/2021,"F",,
59681,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00750/21-PE","FEC","A","FISCALIZACAO",,"T",15/3/2021,"F",,
59682,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00751/21-PE","FEC","R","FISCALIZACAO","R01","T",9/2/2021,"F",,
59682,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00751/21-PE","FEC","R","FISCALIZACAO","R01.23","T",9/2/2021,"F",,
59683,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00752/21-PE","FEC","R","FISCALIZACAO","R01","T",9/2/2021,"F",,
59683,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00752/21-PE","FEC","R","FISCALIZACAO","R01.23","T",9/2/2021,"F",,
59684,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00753/21-PE","FEC","R","FISCALIZACAO","R01","T",9/2/2021,"F",,
59684,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00753/21-PE","FEC","R","FISCALIZACAO","R01.23","T",9/2/2021,"F",,
59685,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00754/21-PE","FEC","A","FISCALIZACAO",,"T",26/2/2021,"F",,
59686,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00755/21-PE","FEC","A","FISCALIZACAO",,"T",15/3/2021,"F",,
59687,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00756/21-PE","FEC","A","FISCALIZACAO",,"T",15/3/2021,"F",,
59688,11/1/2021,,"FERTILIZANTE","FEC_001_001","FERTILIZANTE MINERAL DE APLICAÇÃO VIA SOLO","00757/21-PE","FEC","A","FISCALIZACAO",,"T",31/3/2021,"F",,
59689,11/1/2021,,"FERTILIZANTE","FEC_001_003","FERTILIZANTE ORGANOMINERAL DE APLICAÇÃO VIA FOLIAR, FERTIRRIGAÇÃO, HIDROPONIA E  SEMENTES","00758/21-PE","FEC","A","FISCALIZACAO",,"T",15/3/2021,"F",,
59694,11/1/2021,,"FORRAGEIRAS","NAO_APLICAVEL","Megathyrsus maximus (=Panicum maximum)","00763/21-PE","LASO","A","FISCALIZACAO",,"T",5/2/2021,"F",,
59699,11/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_001","CARNE SALGADA DE BOVINO SEM OSSO","00768/21-PE","POA","A","FISCALIZACAO",,"T",11/2/2021,"F",,
59700,11/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_001","CARNE SALGADA DE BOVINO SEM OSSO","00769/21-PE","POA","C","PERICIADESEMPATE",,"F",,"T",,
59701,12/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","00770/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59702,12/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE RESFRIADA DE BOVINO SEM OSSO","00771/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59736,13/1/2021,"Programa de Redução de Patógenos em Aves (IN 20/2016)","CARNE","MIC_001_002","CARNE RESFRIADA DE FRANGO COM OSSO","00802/21-PE","MIC","A","FISCALIZACAO",,"T",25/1/2021,"F",,
59737,13/1/2021,"Programa de Controle de Listeria Monocytogenes (IN 09/2009)","CARNE","MIC_001_007","SALSICHA RESFRIADA","00803/21-PE","MIC","A","FISCALIZACAO",,"T",25/1/2021,"F",,
59740,13/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_002","CARNE RESFRIADA DE FRANGO COM OSSO","00806/21-PE","MIC","A","FISCALIZACAO",,"T",1/2/2021,"F",,
59742,13/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_002","MIÚDOS CONGELADOS DE FRANGO","00808/21-PE","MIC","A","FISCALIZACAO",,"T",25/1/2021,"F",,
59743,13/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_002","CARNE CONGELADA DE FRANGO COM OSSO","00809/21-PE","POA","A","FISCALIZACAO",,"T",28/1/2021,"F",,
59746,13/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_002","CARNE CONGELADA DE FRANGO COM OSSO","00810/21-PE","POA","C","PERICIADESEMPATE",,"F",,"T","T","02/02/2021 10:54:47"
59747,13/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_002","CARNE CONGELADA DE FRANGO COM OSSO","00811/21-PE","POA","A","FISCALIZACAO",,"T",28/1/2021,"F",,
59748,13/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_002","CARNE CONGELADA DE FRANGO COM OSSO","00812/21-PE","POA","C","PERICIADESEMPATE",,"F",,"T",,
59749,13/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","00813/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59750,14/1/2021,"Amostras para ensaios de contraprova","LÁCTEOS","POA_003_013","REQUEIJÃO CREMOSO COM ADIÇÃO","00814/21-PE","POA","A","PERICIACONTRAPROVA",,"T",14/1/2021,"F",,
59755,14/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","00819/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59756,14/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","00820/21-PE","MIC","A","FISCALIZACAO",,"T",23/2/2021,"F",,
59757,14/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","00821/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59770,14/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","00834/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59803,14/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE CONGELADA DE BOVINO SEM OSSO","00859/21-PE","MIC","A","FISCALIZACAO",,"T",2/2/2021,"F",,
59815,15/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CARNE","MIC_001_007","SALSICHA CONGELADA","00863/21-PE","MIC","A","FISCALIZACAO",,"T",25/1/2021,"F",,
59816,15/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE RESFRIADA DE BOVINO SEM OSSO","00864/21-PE","MIC","R","FISCALIZACAO","R01.07","T",18/1/2021,"F",,
59816,15/1/2021,"Programa de Controle STEC (IN 60/2018)","CARNE","MIC_001_002","CARNE RESFRIADA DE BOVINO SEM OSSO","00864/21-PE","MIC","R","FISCALIZACAO","R01.21","T",18/1/2021,"F",,
59818,14/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_006","CARNE DESIDRATADA DE BOVINO","00866/21-PE","POA","A","FISCALIZACAO",,"T",9/2/2021,"F",,
59819,14/1/2021,"PACPOA - Programa de Avaliação de Conformidade de Produtos de Origem Animal","CÁRNEOS","POA_002_006","CARNE DESIDRATADA DE BOVINO","00867/21-PE","POA","C","PERICIADESEMPATE",,"F",,"T",,
